"","y","t","sa","s","i"
"1",27.3861278752583,76.7626065966846,77.0008083015138,-49.6146804262555,0.238201704829245
"2",99.8498873309329,76.5521675916284,76.9260150483354,22.9238722825976,0.373847456707034
"3",94.8683298050514,75.9835847553303,75.7853087752997,19.0830210297517,-0.198275980030502
"4",92.8439551074813,75.3454602387511,75.5826446093214,17.2613104981599,0.237184370570443
"5",92.8977932999487,75.0088685636756,74.2036100044882,18.6941832954605,-0.805258559187135
"6",91.4330356052997,75.3587317250661,75.4188137224081,16.0142218828916,0.060081997342248
"7",31.7804971641414,76.3427528478148,75.8307437462578,-44.0502465821163,-0.512009101556715
"8",28.1069386451104,77.0249797258485,78.7578517266564,-50.650913081546,1.73287200080823
"9",98.6407623652616,76.5856122143595,76.1364739995989,22.5042883656627,-0.449138214760228
"10",95.4986910905066,75.5908880415455,76.1080433257033,19.3906477648032,0.517155284158363
"11",92.1954445729289,74.7506011940437,74.0879893724022,18.1074552005267,-0.662611821640979
"12",94.7100839404126,74.4644615179857,74.4222074110891,20.2878765293235,-0.0422541068960307
"13",90.8295106229247,75.2221363692062,74.1374127083548,16.69209791457,-1.0847236608507
"14",32.2490309931942,77.7649104916644,76.5910932504768,-44.3420622572826,-1.17381724118679
"15",29.1547594742265,80.5825539324562,83.7821543979275,-54.627394923701,3.1996004654722
"16",101.784085199996,81.7109773014281,80.3637158623363,21.4203693376595,-1.34726143909093
"17",101.8822850156,83.0750022384329,82.388615125699,19.4936698899012,-0.686387112732811
"18",105.498815159223,86.1646304352162,85.5627215511487,19.9360936080748,-0.601908884066338
"19",114.236596587959,89.2007151179747,91.495284428973,22.7413121589856,2.29456931099958
"20",110.679718105893,89.041123778179,92.0849527697632,18.5947653361301,3.04382899158547
"21",39.7492138287036,87.9838704774192,81.8636158303517,-42.1144020016481,-6.12025464706615
"22",30.6594194335118,91.0612160612606,91.9966237908976,-61.3372043573858,0.935407729638382
"23",116.790410565251,96.4207065384187,96.3207340920513,20.4696764732002,-0.0999724463660145
"24",121.4907403879,101.00178730329,102.301187586436,19.189552801464,1.29940028314722
"25",125.139921687685,105.088340795332,103.955065194463,21.1848564932221,-1.13327560086699
"26",131.871149232878,109.738841492017,109.787268755332,22.0838804775461,0.0484272633167241
"27",133.454111963626,115.74037376903,114.130422011543,19.3236899520827,-1.60995175748544
"28",89.6660470858396,121.462061363072,125.334556961269,-35.6685098754295,3.87249559819877
"29",56.1248608016091,125.607725037524,122.82559826037,-66.7007374587605,-2.78212677715275
"30",150.299700598504,131.073277926016,129.945275130101,20.3544254684028,-1.12800279591243
"31",156.204993518133,139.667218094744,137.961229543852,18.2437639742814,-1.70598855089039
"32",173.205080756888,149.112146896058,151.512022687785,21.693058069103,2.39987579172899
"33",175.271218401653,158.888418246134,154.484307741109,20.7869106605445,-4.40411050502365
"34",191.57244060668,168.521707596273,174.325917441499,17.2465231651816,5.80420984522799
"35",145.292807805479,172.124745013616,176.494884608694,-31.202076803215,4.3701395950806
"36",97.0566844684074,171.454371307455,164.685786426204,-67.6291019577963,-6.76858488124867
"37",199.974998437305,172.45613363357,176.875570107824,23.099428329481,4.41943647425563
"38",193.002590656188,170.819142670769,173.140296346948,19.8622943092401,2.3211536761818
"39",186.868938028769,165.038158310486,163.645733801936,23.2232042268334,-1.39242450854686
"40",181.631495066247,156.943238931057,161.437681343286,20.1938137229605,4.49444241223268
"41",152.381101190404,148.86271818955,140.68544201667,11.6956591737336,-8.1772761728765
"42",114.629839047257,145.190240362131,147.463730596643,-32.8338915493862,2.27349023451576
"43",77.5886589650833,143.095856078169,143.26015917621,-65.6715002111271,0.164303098045288
"44",161.610158728554,140.792013101465,138.560399276828,23.0497594517262,-2.23161382463361
"45",158.216884394853,141.555452181296,139.323838137136,18.8930462577168,-2.23161404415619
"46",169.85287751463,143.981672794313,147.040976337631,22.8119011769997,3.0593035433224
"47",164.103625797848,144.386875640885,144.519506931943,19.584118865905,0.132631291062408
"48",155.209535789526,142.632562221815,143.544488545606,11.6650472439199,0.911926323796084
"49",106.536378763313,139.704692725162,139.904264310931,-33.3678855476189,0.199571585774484
"50",76.0263112349928,136.262860198223,135.764939633509,-59.7386283985158,-0.497920564709167
"51",158.650559406515,132.759752289432,133.482261484431,25.1682979220834,0.722509195004318
"52",147.648230602334,128.679160427099,128.825621458062,18.8226091442724,0.146461030968469
"53",143.282936876657,124.333211753659,123.843977575876,19.4389593007808,-0.489234177777153
"54",135.240526470433,120.995959959542,119.756816872554,15.483709597879,-1.23914308698095
"55",130.115333454593,119.150405912425,119.084574665003,11.0307587895904,-0.0658312474147237
"56",81.6088230524127,118.948306075014,116.962992328277,-35.3541692758643,-1.98531374672976
"57",67.3052746818554,119.234340538062,122.295086572166,-54.9898118903104,3.06074603411099
"58",144.672042910854,117.936942636279,117.129128447132,27.5429144637219,-0.80781418913894
"59",136.161668614923,115.364092636769,116.572131314359,19.5895373005636,1.20803867759828
"60",128.724512040248,112.691934064839,111.275025352107,17.4494866881411,-1.41690871272351
"61",124.378454725889,111.020557792138,110.541253772606,13.8372009532827,-0.479304019523623
"62",122.392810246354,109.947659253481,111.065394934148,11.3274153122062,1.11773568067556
"63",71.2039324756716,108.47302178765,107.548719510611,-36.3447870349393,-0.924302277030213
"64",54.4977063737549,106.987847207156,107.705348397353,-53.2076420235981,0.717501190206252
"65",133.865604245452,104.979566238843,105.527576022769,28.3380282226833,0.548009783935168
"66",121.119775429118,102.411314685669,101.741371421415,19.3784040077028,-0.669943264244236
